gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2016-03-14,0,1.0,0.62200871,0.0616355,0.02023095,0.0082972,0.00234695,0.00069586,1,2507,Providence,82.48,East,9
mens,2016-03-14,0,1.0,0.29989084,0.09516434,0.02507946,0.0084253,0.00185827,0.00047534,1,2460,Northern Iowa,80.24,West,11
mens,2016-03-14,0,1.0,0.36337233,0.03928262,0.01578458,0.00429036,0.00158879,0.00046216,1,38,Colorado,81.46,South,8
mens,2016-03-14,0,1.0,0.15189607,0.06274396,0.02012179,0.00357558,0.00126262,0.00045658,1,2617,Stephen F. Austin,80.98,East,14
mens,2016-03-14,0,1.0,0.38725076,0.13930259,0.03700786,0.00980374,0.00193114,0.00044602,1,43,Yale,80.2,West,12
mens,2016-03-14,0,1.0,0.33060551,0.04701794,0.01374853,0.00382012,0.00119576,0.00040415,1,2641,Texas Tech,81.27,Midwest,8
mens,2016-03-14,1,0.46378293,0.15495831,0.03650961,0.01209639,0.00222762,0.0007156,0.0002378,1,202,Tulsa,79.93,East,11b
mens,2016-03-14,1,0.53621707,0.18883321,0.04683546,0.01622792,0.00313976,0.00082848,0.00023076,1,130,Michigan,79.57,East,11a
mens,2016-03-14,0,1.0,0.37799129,0.02681753,0.00601826,0.00180312,0.00052577,0.0001602,1,30,Southern California,81.4,East,8
mens,2016-03-14,0,1.0,0.1580884,0.04770128,0.00826443,0.00191855,0.00048245,0.00013437,1,2031,Arkansas-Little Rock,78.9,Midwest,12
mens,2016-03-14,0,1.0,0.20535771,0.06688261,0.00813068,0.00173831,0.00049377,0.00010987,1,2571,South Dakota State,78.64,South,12
mens,2016-03-14,0,1.0,0.27805979,0.04054921,0.0094281,0.00165774,0.0004453,9.37e-05,1,218,Temple,78.48,South,10
mens,2016-03-14,0,1.0,0.15402084,0.04699842,0.01008468,0.00219083,0.00036883,7.382e-05,1,350,North Carolina-Wilmington,77.72,West,13
mens,2016-03-14,0,1.0,0.26556296,0.02682859,0.00814584,0.00234282,0.00034191,6e-05,1,204,Oregon State,77.63,West,7
mens,2016-03-14,0,1.0,0.15929771,0.03193922,0.0050085,0.00106553,0.00021028,4.713e-05,1,314,Iona,78.22,Midwest,13
mens,2016-03-14,0,1.0,0.11768487,0.02813062,0.00456128,0.0009999,0.00014119,2.403e-05,1,2739,Green Bay,76.18,West,14
mens,2016-03-14,0,1.0,0.07469338,0.01518218,0.00196437,0.00054641,9.772e-05,1.911e-05,1,2619,Stony Brook,77.09,East,13
mens,2016-03-14,0,1.0,0.16558984,0.0385179,0.00296445,0.00041721,9.005e-05,1.525e-05,1,62,Hawaii,78.02,South,13
mens,2016-03-14,0,1.0,0.12316657,0.01629048,0.0016262,0.0003633,7.148e-05,1.525e-05,1,236,Chattanooga,76.6,East,12
mens,2016-03-14,0,1.0,0.12990083,0.027687,0.00311017,0.00039728,6.518e-05,1.235e-05,1,278,Fresno State,76.61,Midwest,14
mens,2016-03-14,0,1.0,0.14235571,0.02062524,0.00283254,0.00037472,7.657e-05,1.228e-05,1,2084,Buffalo,75.66,South,14
mens,2016-03-14,0,1.0,0.04141681,0.01194585,0.00320875,0.00082242,8.809e-05,1.158e-05,1,2934,Cal State Bakersfield,74.97,West,15
mens,2016-03-14,0,1.0,0.0514809,0.01348492,0.00288726,0.00036377,5.332e-05,9.11e-06,1,2393,Middle Tennessee,75.02,Midwest,15
mens,2016-03-14,0,1.0,0.03706028,0.00711099,0.00107081,0.00012429,2.251e-05,3.21e-06,1,2427,North Carolina-Asheville,74.17,South,15
mens,2016-03-14,0,1.0,0.05872659,0.00801166,0.00082059,5.054e-05,5.99e-06,8e-07,1,2692,Weber State,73.28,East,15
mens,2016-03-14,1,0.67226037,0.00903984,0.00175648,0.00013275,1.496e-05,1.58e-06,1.9e-07,1,526,Florida Gulf Coast,71.41,East,16a
mens,2016-03-14,0,1.0,0.00972934,0.00089393,0.00010013,6.98e-06,6.4e-07,5e-08,1,2046,Austin Peay,68.83,South,16
mens,2016-03-14,1,0.51992211,0.01317002,0.00131777,0.00012177,9.26e-06,6.2e-07,5e-08,1,2582,Southern,67.96,West,16b
mens,2016-03-14,0,1.0,0.01742235,0.00193607,0.00010849,6.24e-06,3.5e-07,2e-08,1,2261,Hampton,68.61,Midwest,16
mens,2016-03-14,1,0.48007789,0.00995139,0.00082815,6.08e-05,3.68e-06,1.7e-07,1e-08,1,107,Holy Cross,66.85,West,16a
mens,2016-03-14,1,0.32773963,0.00242482,0.00028391,1.65e-05,1.45e-06,8e-08,0.0,1,161,Fairleigh Dickinson,66.72,East,16b
mens,2016-03-15,0,1.0,0.99027066,0.86031066,0.67910561,0.44709471,0.31727347,0.1897228,1,2305,Kansas,94.46,South,1
mens,2016-03-15,0,1.0,0.98468028,0.90607491,0.60726261,0.43516519,0.25826192,0.14879294,1,153,North Carolina,93.94,East,1
mens,2016-03-15,0,1.0,0.98257765,0.80380925,0.51767831,0.30355732,0.17226689,0.0978437,1,258,Virginia,92.46,Midwest,1
mens,2016-03-15,0,1.0,0.9485191,0.77629788,0.59476162,0.33937835,0.17273695,0.08904323,1,127,Michigan State,91.84,Midwest,2
mens,2016-03-15,0,1.0,0.95858319,0.82132961,0.53341957,0.31970067,0.14188105,0.06768582,1,201,Oklahoma,89.96,West,2
mens,2016-03-15,0,1.0,0.96293972,0.76701243,0.46574837,0.21967459,0.13071657,0.06324541,1,222,Villanova,91.29,South,2
mens,2016-03-15,0,1.0,0.92530662,0.61058029,0.25196916,0.15916826,0.0849496,0.04436353,1,96,Kentucky,90.69,East,4
mens,2016-03-15,0,1.0,0.84810393,0.63003359,0.3985091,0.16169607,0.0744421,0.03399102,1,277,West Virginia,89.3,East,3
mens,2016-03-15,0,1.0,0.8419116,0.51862565,0.24470148,0.12956658,0.05803585,0.02672882,1,2509,Purdue,88.68,Midwest,5
mens,2016-03-15,0,1.0,0.97687859,0.72203287,0.43961241,0.22636162,0.07170287,0.02555118,1,2483,Oregon,88.0,West,1
mens,2016-03-15,0,1.0,0.88231513,0.5494919,0.24167014,0.12413686,0.0519586,0.02356873,1,245,Texas A&M,86.82,West,3
mens,2016-03-15,1,1.0,0.50451453,0.31682301,0.15200108,0.06451751,0.03853623,0.01872649,1,2724,Wichita State,88.44,South,11b
mens,2016-03-15,0,1.0,0.94127341,0.59532198,0.29417482,0.0986606,0.04219462,0.01802985,1,2752,Xavier,87.73,East,2
mens,2016-03-15,0,1.0,0.49548547,0.30955889,0.14332392,0.05879395,0.03547113,0.01743753,1,12,Arizona,89.04,South,6
mens,2016-03-15,0,1.0,0.84597916,0.54298653,0.26249249,0.12109972,0.04312301,0.01701235,1,150,Duke,87.33,West,4
mens,2016-03-15,0,1.0,0.79464229,0.42966905,0.13410495,0.06203517,0.03142577,0.01270512,1,120,Maryland,87.37,South,5
mens,2016-03-15,0,1.0,0.87683343,0.35794705,0.10999712,0.05790871,0.02574694,0.01139278,1,84,Indiana,87.36,East,5
mens,2016-03-15,0,1.0,0.85764429,0.35429225,0.13851633,0.04842663,0.02497861,0.01029909,1,2390,Miami (FL),87.05,South,3
mens,2016-03-15,0,1.0,0.84070229,0.40173385,0.14743067,0.06397299,0.02509771,0.01028974,1,66,Iowa State,86.5,Midwest,4
mens,2016-03-15,0,1.0,0.61274924,0.27071246,0.13099527,0.060489,0.0236584,0.01012213,1,239,Baylor,85.47,West,5
mens,2016-03-15,0,1.0,0.70010916,0.32721314,0.12683644,0.05881695,0.02117382,0.00843242,1,251,Texas,84.66,West,6
mens,2016-03-15,0,1.0,0.87009917,0.4955672,0.15469945,0.05296992,0.02032671,0.00817369,1,254,Utah,86.64,Midwest,3
mens,2016-03-15,0,1.0,0.85542774,0.47614677,0.1086855,0.03935962,0.01874992,0.00709437,1,25,California,86.53,South,4
mens,2016-03-15,0,1.0,0.72194021,0.18532737,0.08754145,0.03145337,0.01553231,0.00610845,1,2294,Iowa,85.91,South,7
mens,2016-03-15,0,1.0,0.60181899,0.30534,0.09376385,0.03161595,0.01167278,0.00453745,1,2250,Gonzaga,85.96,Midwest,11
mens,2016-03-15,0,1.0,0.62883547,0.27120281,0.10943365,0.02890979,0.01060848,0.00395152,1,275,Wisconsin,84.75,East,7
mens,2016-03-15,0,1.0,0.65620848,0.22387739,0.10096272,0.02645079,0.00935948,0.00337455,1,87,Notre Dame,84.36,East,6
mens,2016-03-15,0,1.0,0.63662767,0.09951278,0.0528118,0.02052818,0.00915822,0.00323211,1,41,Connecticut,85.32,South,9
mens,2016-03-15,0,1.0,0.66939449,0.14723674,0.06305958,0.02494155,0.00842268,0.0030273,1,2086,Butler,84.17,Midwest,9
mens,2016-03-15,0,1.0,0.60648609,0.18259449,0.08393883,0.03188932,0.00920331,0.00302311,1,2132,Cincinnati,83.7,West,9
mens,2016-03-15,0,1.0,0.39818101,0.1714058,0.05331916,0.01819683,0.00630486,0.00231786,1,2550,Seton Hall,84.46,Midwest,6
mens,2016-03-15,0,1.0,0.73443704,0.13989595,0.05707852,0.02168932,0.00560613,0.00167114,1,2670,Virginia Commonwealth,83.05,West,10
mens,2016-03-15,0,1.0,0.52355784,0.11287306,0.05315441,0.01567429,0.00449251,0.00139714,1,2168,Dayton,82.37,Midwest,7
mens,2016-03-15,0,1.0,0.47644216,0.09734414,0.04430409,0.01255474,0.00360073,0.00112044,1,183,Syracuse,82.69,Midwest,10
mens,2016-03-15,0,1.0,0.37116453,0.12546356,0.04765302,0.01174962,0.00354271,0.00110653,1,221,Pittsburgh,82.29,East,10
mens,2016-03-15,0,1.0,0.62200871,0.0630388,0.020679,0.00847681,0.00239647,0.00070638,1,2507,Providence,82.48,East,9
mens,2016-03-15,0,1.0,0.39351391,0.09322671,0.03568588,0.0112186,0.00260151,0.00070429,1,2603,Saint Joseph's,81.61,West,8
mens,2016-03-15,0,1.0,0.29989084,0.09516434,0.02507946,0.0084253,0.00183544,0.00046994,1,2460,Northern Iowa,80.24,West,11
mens,2016-03-15,0,1.0,0.15189607,0.06274396,0.02012179,0.00358159,0.00126465,0.0004551,1,2617,Stephen F. Austin,80.98,East,14
mens,2016-03-15,0,1.0,0.36337233,0.03928262,0.01515909,0.00409083,0.0015218,0.00044478,1,38,Colorado,81.46,South,8
mens,2016-03-15,0,1.0,0.38725076,0.13930259,0.03700786,0.00980374,0.00190626,0.00044068,1,43,Yale,80.2,West,12
mens,2016-03-15,0,1.0,0.33060551,0.04701794,0.01374853,0.00382012,0.00119621,0.00040228,1,2641,Texas Tech,81.27,Midwest,8
mens,2016-03-15,1,0.46378293,0.15495831,0.03650961,0.01209639,0.00223128,0.00071672,0.00023695,1,202,Tulsa,79.93,East,11b
mens,2016-03-15,1,0.53621707,0.18883321,0.04683546,0.01622792,0.00314476,0.00082972,0.0002298,1,130,Michigan,79.57,East,11a
mens,2016-03-15,0,1.0,0.37799129,0.02758362,0.00618629,0.00185248,0.00053989,0.00016356,1,30,Southern California,81.4,East,8
mens,2016-03-15,0,1.0,0.1580884,0.04770128,0.00826443,0.00191855,0.00048267,0.00013368,1,2031,Arkansas-Little Rock,78.9,Midwest,12
mens,2016-03-15,0,1.0,0.20535771,0.06034051,0.00741602,0.00158046,0.00045301,0.00010173,1,2571,South Dakota State,78.64,South,12
mens,2016-03-15,0,1.0,0.27805979,0.04054921,0.00916799,0.00160281,0.00043149,9.101e-05,1,218,Temple,78.48,South,10
mens,2016-03-15,0,1.0,0.15402084,0.04699842,0.01008468,0.00219083,0.00036379,7.288e-05,1,350,North Carolina-Wilmington,77.72,West,13
mens,2016-03-15,0,1.0,0.26556296,0.02682859,0.00814584,0.00234282,0.00033703,5.919e-05,1,204,Oregon State,77.63,West,7
mens,2016-03-15,0,1.0,0.15929771,0.03193922,0.0050085,0.00106553,0.00021038,4.686e-05,1,314,Iona,78.22,Midwest,13
mens,2016-03-15,0,1.0,0.11768487,0.02813062,0.00456128,0.0009999,0.00013916,2.371e-05,1,2739,Green Bay,76.18,West,14
mens,2016-03-15,0,1.0,0.07469338,0.01518218,0.00198296,0.00055139,9.857e-05,1.914e-05,1,2619,Stony Brook,77.09,East,13
mens,2016-03-15,0,1.0,0.12316657,0.01629048,0.00164411,0.00036717,7.221e-05,1.531e-05,1,236,Chattanooga,76.6,East,12
mens,2016-03-15,0,1.0,0.14457226,0.03384366,0.00262335,0.00036637,7.958e-05,1.356e-05,1,62,Hawaii,78.02,South,13
mens,2016-03-15,0,1.0,0.12990083,0.027687,0.00311017,0.00039728,6.521e-05,1.228e-05,1,278,Fresno State,76.61,Midwest,14
mens,2016-03-15,0,1.0,0.14235571,0.01932585,0.00266239,0.00034988,7.171e-05,1.154e-05,1,2084,Buffalo,75.66,South,14
mens,2016-03-15,0,1.0,0.04141681,0.01194585,0.00320875,0.00082242,8.673e-05,1.141e-05,1,2934,Cal State Bakersfield,74.97,West,15
mens,2016-03-15,0,1.0,0.0514809,0.01348492,0.00288726,0.00036377,5.335e-05,9.05e-06,1,2393,Middle Tennessee,75.02,Midwest,15
mens,2016-03-15,0,1.0,0.03706028,0.00711099,0.00103846,0.00011948,2.168e-05,3.09e-06,1,2427,North Carolina-Asheville,74.17,South,15
mens,2016-03-15,0,1.0,0.05872659,0.00801166,0.00082059,5.067e-05,6.01e-06,8e-07,1,2692,Weber State,73.28,East,15
mens,2016-03-15,1,1.0,0.01531972,0.00330268,0.00027874,3.482e-05,4.07e-06,5.3e-07,1,526,Florida Gulf Coast,72.94,East,16a
mens,2016-03-15,1,0.51992211,0.01317002,0.00131777,0.00012177,9.26e-06,6.1e-07,5e-08,1,2582,Southern,67.96,West,16b
mens,2016-03-15,0,1.0,0.00972934,0.00089393,9.367e-05,6.45e-06,5.9e-07,4e-08,1,2046,Austin Peay,68.83,South,16
mens,2016-03-15,0,1.0,0.01742235,0.00193607,0.00010849,6.24e-06,3.5e-07,2e-08,1,2261,Hampton,68.61,Midwest,16
mens,2016-03-15,1,0.48007789,0.00995139,0.00082815,6.08e-05,3.68e-06,1.7e-07,1e-08,1,107,Holy Cross,66.85,West,16a
mens,2016-03-15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,238,Vanderbilt,85.96,South,11a
mens,2016-03-15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,161,Fairleigh Dickinson,67.27,East,16b
mens,2016-03-16,0,1.0,0.99027066,0.86031066,0.68679352,0.45159162,0.32017291,0.19122757,1,2305,Kansas,94.46,South,1
mens,2016-03-16,0,1.0,0.98468028,0.90607491,0.60726261,0.43516259,0.25826056,0.14878828,1,153,North Carolina,93.94,East,1
mens,2016-03-16,0,1.0,0.98257765,0.80380925,0.51767831,0.30355732,0.17230512,0.09786082,1,258,Virginia,92.46,Midwest,1
mens,2016-03-16,0,1.0,0.9485191,0.77629788,0.59476162,0.33937835,0.17278542,0.08906482,1,127,Michigan State,91.84,Midwest,2
mens,2016-03-16,0,1.0,0.95858319,0.82132961,0.53341957,0.31965415,0.14193929,0.06771412,1,201,Oklahoma,89.96,West,2
mens,2016-03-16,0,1.0,0.96293972,0.76701243,0.46574837,0.22001319,0.13091184,0.06333317,1,222,Villanova,91.29,South,2
mens,2016-03-16,0,1.0,0.92530662,0.61058029,0.25196916,0.15916753,0.08494926,0.04436281,1,96,Kentucky,90.69,East,4
mens,2016-03-16,0,1.0,0.84810393,0.63096464,0.39903223,0.16187002,0.07450766,0.0340155,1,277,West Virginia,89.3,East,3
mens,2016-03-16,0,1.0,0.8419116,0.51862565,0.24470148,0.12956658,0.05805646,0.02673775,1,2509,Purdue,88.68,Midwest,5
mens,2016-03-16,0,1.0,0.98086401,0.72466814,0.44096311,0.22690979,0.07189145,0.02559974,1,2483,Oregon,88.0,West,1
mens,2016-03-16,0,1.0,0.88231513,0.5494919,0.24167014,0.12411124,0.05198105,0.02357915,1,245,Texas A&M,86.82,West,3
mens,2016-03-16,1,1.0,0.50451453,0.31682301,0.15200108,0.06464956,0.03861239,0.01876101,1,2724,Wichita State,88.44,South,11b
mens,2016-03-16,0,1.0,0.94127341,0.59532198,0.29425898,0.09868511,0.04220385,0.0180339,1,2752,Xavier,87.73,East,2
mens,2016-03-16,0,1.0,0.49548547,0.30955889,0.14332392,0.05892473,0.03554732,0.01747254,1,12,Arizona,89.04,South,6
mens,2016-03-16,0,1.0,0.84597916,0.54298653,0.26224021,0.12099552,0.04312695,0.01701523,1,150,Duke,87.33,West,4
mens,2016-03-16,0,1.0,0.79464229,0.46029038,0.14219176,0.06526766,0.03285641,0.0131926,1,120,Maryland,87.37,South,5
mens,2016-03-16,0,1.0,0.87683343,0.35794705,0.10999712,0.05790886,0.025747,0.01139307,1,84,Indiana,87.36,East,5
mens,2016-03-16,0,1.0,0.85764429,0.35429225,0.13851633,0.04857855,0.02505378,0.01032811,1,2390,Miami (FL),87.05,South,3
mens,2016-03-16,0,1.0,0.84070229,0.40173385,0.14743067,0.06397299,0.02510869,0.01029428,1,66,Iowa State,86.5,Midwest,4
mens,2016-03-16,0,1.0,0.61274924,0.27071246,0.13086959,0.06043704,0.02365722,0.01012237,1,239,Baylor,85.47,West,5
mens,2016-03-16,0,1.0,0.70010916,0.32721314,0.12683644,0.05880235,0.02118673,0.00843765,1,251,Texas,84.66,West,6
mens,2016-03-16,0,1.0,0.87009917,0.4955672,0.15469945,0.05296992,0.02033589,0.00817745,1,254,Utah,86.64,Midwest,3
mens,2016-03-16,0,1.0,0.72194021,0.18532737,0.08754145,0.03154687,0.01557652,0.00612468,1,2294,Iowa,85.91,South,7
mens,2016-03-16,0,1.0,0.83441016,0.43430911,0.08968276,0.0299194,0.01340961,0.00475534,1,25,California,85.62,South,4
mens,2016-03-16,0,1.0,0.60181899,0.30534,0.09376385,0.03161595,0.01167834,0.00453969,1,2250,Gonzaga,85.96,Midwest,11
mens,2016-03-16,0,1.0,0.62883547,0.27120281,0.10948081,0.02892077,0.01061207,0.003953,1,275,Wisconsin,84.75,East,7
mens,2016-03-16,0,1.0,0.6621377,0.22555949,0.10159822,0.02657896,0.00939384,0.00338368,1,87,Notre Dame,84.36,East,6
mens,2016-03-16,0,1.0,0.63662767,0.09951278,0.05435213,0.02104562,0.0093606,0.00329282,1,41,Connecticut,85.32,South,9
mens,2016-03-16,0,1.0,0.66939449,0.14723674,0.06305958,0.02494155,0.00842719,0.00302904,1,2086,Butler,84.17,Midwest,9
mens,2016-03-16,0,1.0,0.60648609,0.18142641,0.08343633,0.03171214,0.00916698,0.00301232,1,2132,Cincinnati,83.7,West,9
mens,2016-03-16,0,1.0,0.39818101,0.1714058,0.05331916,0.01819683,0.00630813,0.00231913,1,2550,Seton Hall,84.46,Midwest,6
mens,2016-03-16,0,1.0,0.73443704,0.13989595,0.05707852,0.02168215,0.00561202,0.00167293,1,2670,Virginia Commonwealth,83.05,West,10
mens,2016-03-16,0,1.0,0.52355784,0.11287306,0.05315441,0.01567429,0.00449541,0.00139816,1,2168,Dayton,82.37,Midwest,7
mens,2016-03-16,0,1.0,0.47644216,0.09734414,0.04430409,0.01255474,0.00360305,0.00112126,1,183,Syracuse,82.69,Midwest,10
mens,2016-03-16,0,1.0,0.37116453,0.12546356,0.04767579,0.01175459,0.00354404,0.00110705,1,221,Pittsburgh,82.29,East,10
mens,2016-03-16,0,1.0,0.62200871,0.0630388,0.020679,0.00847699,0.00239651,0.0007065,1,2507,Providence,82.48,East,9
mens,2016-03-16,0,1.0,0.39351391,0.09242693,0.03539732,0.01113355,0.00258704,0.0007007,1,2603,Saint Joseph's,81.61,West,8
mens,2016-03-16,0,1.0,0.29989084,0.09516434,0.02507946,0.00842209,0.00183777,0.00047055,1,2460,Northern Iowa,80.24,West,11
mens,2016-03-16,0,1.0,0.36337233,0.03928262,0.01578458,0.00423949,0.00157142,0.00045757,1,38,Colorado,81.46,South,8
mens,2016-03-16,0,1.0,0.15189607,0.06300398,0.02019563,0.00359288,0.00126815,0.00045624,1,2617,Stephen F. Austin,80.98,East,14
mens,2016-03-16,0,1.0,0.38725076,0.13930259,0.03693233,0.0097853,0.00190639,0.00044078,1,43,Yale,80.2,West,12
mens,2016-03-16,0,1.0,0.33060551,0.04701794,0.01374853,0.00382012,0.00119691,0.00040254,1,2641,Texas Tech,81.27,Midwest,8
mens,2016-03-16,1,1.0,0.3378623,0.08047189,0.02693656,0.00502492,0.001283,0.00034502,1,130,Michigan,80.31,East,11a
mens,2016-03-16,0,1.0,0.37799129,0.02758362,0.00618629,0.00185258,0.00053992,0.00016359,1,30,Southern California,81.4,East,8
mens,2016-03-16,0,1.0,0.1580884,0.04770128,0.00826443,0.00191855,0.00048303,0.0001338,1,2031,Arkansas-Little Rock,78.9,Midwest,12
mens,2016-03-16,0,1.0,0.20535771,0.06688261,0.00813068,0.00171587,0.00048785,0.00010866,1,2571,South Dakota State,78.64,South,12
mens,2016-03-16,0,1.0,0.27805979,0.04054921,0.00916799,0.00161532,0.00043474,9.167e-05,1,218,Temple,78.48,South,10
mens,2016-03-16,0,1.0,0.15402084,0.04699842,0.01006006,0.00218584,0.00036376,7.288e-05,1,350,North Carolina-Wilmington,77.72,West,13
mens,2016-03-16,0,1.0,0.26556296,0.02682859,0.00814584,0.00234177,0.00033765,5.931e-05,1,204,Oregon State,77.63,West,7
mens,2016-03-16,0,1.0,0.15929771,0.03193922,0.0050085,0.00106553,0.00021057,4.691e-05,1,314,Iona,78.22,Midwest,13
mens,2016-03-16,0,1.0,0.11768487,0.02813062,0.00456128,0.00099935,0.00013941,2.375e-05,1,2739,Green Bay,76.18,West,14
mens,2016-03-16,0,1.0,0.07469338,0.01518218,0.00198296,0.00055142,9.858e-05,1.915e-05,1,2619,Stony Brook,77.09,East,13
mens,2016-03-16,0,1.0,0.12316657,0.01629048,0.00164411,0.00036721,7.222e-05,1.532e-05,1,236,Chattanooga,76.6,East,12
mens,2016-03-16,0,1.0,0.16558984,0.0385179,0.00296445,0.00041125,8.883e-05,1.505e-05,1,62,Hawaii,78.02,South,13
mens,2016-03-16,0,1.0,0.12990083,0.027687,0.00311017,0.00039728,6.528e-05,1.229e-05,1,278,Fresno State,76.61,Midwest,14
mens,2016-03-16,0,1.0,0.14235571,0.01932585,0.00266239,0.00035326,7.239e-05,1.164e-05,1,2084,Buffalo,75.66,South,14
